title,description,url,image_url,published_date,source,author,content,category,data_source
Why J.D. Power is Predicting the Dodge Charger Daytona EV will Have Great Long Term Value,"The Dodge Charger Daytona, Jeep Gladiator and Jeep Wagoneer all earned J.D. Power 2025 US ALG Residual Value Awards.",https://www.torquenews.com/3768/why-jd-power-predicting-dodge-charger-daytona-ev-will-have-great-long-term-value,,2024-11-23 16:53:00,Torque News,,"Follow us today... It is interesting that J.D. Power is giving the 2024 Dodge Daytona Charger EV its J.D. Power 2025 U.S. ALG Residual Value Award in the electric vehicle segment. The Charger EV isn’t even out yet, but the auto experts are expecting great things from the new vehicle. The Charger EV will be Dodge’s first EV. The Jeep Gladiator ranks No. 1 for residual value among midsize pickups. The Jeep Wagoneer earns award for best residual value among large SUVs for third consecutive year. Why J.D. Power is Ranking the Dodge Charger Daytona #1 The J.D. Power annual award projects which vehicle models will hold the highest percentage of their manufacturer’s suggested retail price following a three-year period of ownership. The first edition of any vehicle is often a collector’s edition but J.D Power is banking on the Charger EV holding its value as well as the gas-powered versions do. ""The last-generation Dodge Charger won ALG Residual Value Awards for eight consecutive years, from 2015 to 2022, and this next generation is picking up right where it left off, winning its segment."" said Matt Thompson, head of U.S. retail sales, Stellantis North America. ""The brand-new Dodge Charger Daytona showcases the future of muscle cars, bringing together the instant torque and fun of an electric car with the unmistakable muscle car styling and heritage of a Dodge Charger. Strong performance, competitive pricing and unmistakable styling make it the winner of the Electric Car segment.” said Danny Battaglia, managing director of ALG customer success at J.D. Power. The 2024 Dodge Charger Daytona EV The 2024 Dodge Charger Daytona Scat Pack will keep Dodge’s title as the world’s quickest and most powerful muscle car with 670 horsepower and 627 lb.-ft. of torque. The Dodge Charger Daytona will have an all-electric, 400-volt dual motor system, delivering high-horsepower performance through standard all-wheel drive. The Dodge Charger Daytona is an interesting experiment because Dodge has created a special Fratzonic Chambered Exhaust system to replicate a muscle car sound for the EV. Current and previous generations of muscle cars were defined by the loud revving engines. Dodge realized right away that to be a muscle car, an EV needed an identifiable engine rumble. I have covered the evolution of the EV muscle car since Dodge first proposed it two years ago. The Dodge Charger Daytona Scat Pack with its 670 horsepower will have an astounding 627 lb.-ft. of torque. The Scat Pack version reaches 0-60 mph in 3.3 seconds while running the quarter-mile in an estimated 11.5 seconds. The Dodge Charger Daytona R/T model will kick out 496 horsepower and 404 lb.-ft. of torque. The all-electric two-door Charger Daytona models are part of the Charger’s multi-energy lineup, which will include all-electric four-door Charger Daytona models as well as gas-powered Dodge Charger SIXPACK H.O. and Charger SIXPACK S.O. vehicles. Jeep Gladiator and Jeep Wagoneer Also Receive Top Residual Value Awards The Jeep Gladiator ranks No. 1 for residual value among midsize pickups, marking the third time Gladiator has earned a J.D. Power award. The Jeep Wagoneer also takes home the award for best residual value among large SUVs for third consecutive year. Matt Thompson, head of U.S. retail sales, Stellantis North America, praised both vehicles. ""Additionally, the Jeep brand is celebrating a three-peat for the Jeep Wagoneer, now the most affordable full-size SUV in America, and the Gladiator, which remains the only pickup truck in the industry with open-air freedom, featuring a folding windshield, three removable roof choices and removable doors."" Danny Battaglia, managing director of ALG customer success at J.D. Power, added, ""Jeep Wagoneer delivers the iconic Jeep design characteristics in conjunction with an extremely competitive pricing and many luxury features. This strong value proposition helped the Wagoneer to win the Residual Value Award in the large SUVs segment. Jeep Gladiator seamlessly blends tradition and innovation. Gladiator provides the capability of a pickup, the adventure of a true off-road vehicle in a competitive price leading it to win the Residual Value Award in the midsize pickup segment.” The Jeep Wrangler, Grand Cherokee and Wagoneer L all ranked No. 2 in their catagories, while Ram ProMaster ranked second in the commercial van category. Dodge Photo Mary Conway is a professional automotive journalist and has decades of experience specializing in automotive news analysis. She covered the Detroit Three for more than twenty years for the ABC affiliate, in Detroit. Her affection for the Motor City comes naturally. Her father ran a gas station while Mary was growing up, in Wisconsin. Follow Mary Conway at @MaryConwayMedia and send her car news tips for future stories.",Uncategorized,bing
Begehrte Soundcore Life P2 Mini mit Ladehülle zum Schnäppchenpreis,Sie suchen kabellose In-Ears zum kleinen Preis? Amazon hat die Anker Soundcore Life P2 Mini inklusive Ladecase aktuell günstiger im Angebot.,https://www.autobild.de/artikel/bluetooth-kopfhoerer-anker-soundcore-life-p2-mini-amazon-angebot-sparen-27686025.html,,2024-11-23 16:30:00,Markus Werner,,"Mit Bluetooth-Kopfhörern lauschen Sie Ihrer Lieblingsmusik nahezu überall. Wer ein kompaktes Paar sucht, der findet jetzt die Anker Soundcore Life P2beizum attraktiven Preis im Angebot. Dem Preisvergleichsportal idealo zufolge wechseln die bei Amazon-Kunden beliebten In-Ear-Kopfhörer momentan zum besten Preis den Besitzer. Anker-Kopfhörer bei Amazon zum kleinen Preis",,rss
Spardeal für Zocker: Trust-Headset für PS4 & 5 für attraktive 28 Euro!,Sie suchen ein neues PlayStation-Headset? Bei Amazon ist aktuell das Trust GXT 488 Forze-B für Sony-Konsolen zum Spottpreis im Angebot.,https://www.autobild.de/artikel/gaming-headset-trust-gxt-488-forze-b-amazon-angebot-deal-27683401.html,,2024-11-23 16:00:00,Markus Werner,,"Ein Gaming-Headset gehört für Konsolen- wie PC-Spieler zur Grundausstattung. So kommunizieren Sie mit anderen Zockern und nehmen die akustische Kulisse von Games immersiver wahr. Geht das Headset kaputt, muss schnell Ersatz her. Den hat gerademit dem Trust GXT 488 Forze-B für 27,99 Euro im Angebot. Laut dem Preisvergleichsportal idealo verlangt die Internetkonkurrenz rund 10 Euro mehr. Die Lieferung ist für Prime-Kunden oder ab 39 Euro Bestellwert versandkostenfrei (alle Preise und Angaben: Stand 22. November 2024). PlayStation-Headset von Trust zum Sparpreis Das Trust GXT 488 Forze-B verfügt über 50-Millimeter-Aktivlautsprecher, die den Herstellerangaben zufolge klaren und satten Sound ermöglichen. Der einstellbare sowie verstärkte Kopfbügel ist laut Trust langlebig und sorgt zusammen mit den gepolsterten Ohrmuscheln für Komfort beim Daddeln. Über den 3,5-Millimeter-Klinkenstecker schließen Sie das Headset einfach an den PlayStation-Controller an. Das Mikrofon ist klappbar und mit einem Poppfilter versehen, der eine klare und unverfälschte Kommunikation gestatten soll. Über die Fernbedienung am 1,2-Meter-Audiokabel schalten Sie das Mikrofon stumm und regeln die Lautstärke.",,rss
EU and China are close to agreement on abolition of duties on electric vehicles,"Here we are to serve you with news right now. It does not cost much, but worth your attention. Choose to support open, independent, quality journalism and subscribe on a monthly basis. By subscribing to our online newspaper, you can have full digital access to all news, analysis, and much more.",https://www.azernews.az/region/234293.html,,2024-11-23 15:45:00,Azer News,,"23 November 2024 19:45 (UTC+04:00) Full digital access to all news for 1 year Full digital access to all news for 6 months Full digital access to all news for 3 months Full digital access to all news for 1 month Find the plan that suits you best. Brussels and Beijing may soon reach an agreement to abolish duties on the import of Chinese electric vehicles to Europe, Azernews reports. Here we are to serve you with news right now. It does not cost much, but worth your attention. Choose to support open, independent, quality journalism and subscribe on a monthly basis. By subscribing to our online newspaper, you can have full digital access to all news, analysis, and much more. Subscribe You can also follow AzerNEWS on Twitter @AzerNewsAz or Facebook @AzerNewsNewspaper Thank you!",Uncategorized,bing
Jaguar’s new logo and branding marking a new era in the luxury electric vehicle market,"British automaker Jaguar, under Tata Motors, is going all-electric with a fresh logo, branding, and three new EVs by 2026. Aiming for a younger, wealt",https://timesofindia.indiatimes.com/auto/cars/jaguars-new-logo-and-branding-marking-a-new-era-in-the-luxury-electric-vehicle-market/articleshow/115604359.cms,,2024-11-23 15:14:00,Indiatimes,,"Rebranding Jaguar with a new logo and modern visual identity for a fresh future Does Jaguar's “Delete Ordinary” message set it apart from competitors? Will Jaguar’s new badge design lead the way for luxury electric vehicles? Why Jaguar’s rebranding aims to double prices and attract younger buyers? Jaguar to launch three new electric models by 2026 with advanced features How Jaguar is transforming the ownership experience for luxury electric vehicle buyers? Why has Jaguar's rebranding has sparked scepticism on social media? Jaguar aims to redefine luxury EVs and compete with Rolls-Royce and Bentley What to expect from Jaguar’s upcoming brand unveiling at Miami Art Week? Jaguar, the iconic British luxury automaker owned by Tata Motors, is embarking on a bold transformation as it shifts to an all-electric future. With a commitment to reinventing itself, Jaguar has unveiled a new logo and branding that emphasises its dedication to originality, luxury, and modernity. The rebranding includes a new ""Leaper"" cat emblem, updated typography, and dynamic marketing slogans designed to resonate with a younger, wealthier audience. As the company prepares to launch three new electric vehicles by 2026, Jaguar aims to redefine the luxury EV market, positioning itself alongside top-tier brands like Rolls-Royce and Bentley.As part of its major rebranding initiative, Jaguar introduced a completely redesigned logo and visual identity to reflect the brand's transformation into a luxury electric vehicle maker. The new logo features a distinctive blend of uppercase and lowercase letters, a design choice that Jaguar believes creates visual harmony. This updated typography reflects the company's evolution, aiming to modernise its image while preserving its premium heritage. One key aspect of the rebranding is the emphasis on the British pronunciation of ""Jag-you-are,"" shifting away from the American ""Jag-wahr."" Jaguar believes the latter doesn't capture the sophistication or luxury that the brand embodies.In addition to the new typography, Jaguar also revamped its iconic ""Leaper"" logo—the prancing cat symbol that has been a hallmark of the brand for decades. The updated Leaper is more angular and dynamic, symbolising the company’s forward-looking, modern identity. While it retains the essence of the original, this new version signifies Jaguar's focus on innovation and contemporary luxury, making it more fitting for the brand's electric future while still honouring its legacy of high-end performance and elegance.Jaguar’s marketing slogans—“delete ordinary,” “live vivid,” and “copy nothing”—serve as powerful statements of the brand’s intention to differentiate itself from the competition and establish itself as a leader in originality and creativity. These phrases reflect the company’s desire to move away from traditional, conventional design practices and mass-market strategies, focusing instead on producing truly unique, innovative products. By using these bold slogans, Jaguar is signalling its commitment to breaking away from the status quo and embracing a more forward-thinking approach in the luxury electric vehicle market.The emphasis on “delete ordinary” and “copy nothing” shows Jaguar's rejection of generic, mass-produced designs in favour of one-of-a-kind, meticulously crafted vehicles. The slogan “live vivid” further enhances this vision, encouraging customers to embrace bold, exciting choices that stand out in the automotive world. Together, these slogans not only highlight Jaguar’s shift toward a more distinct and exclusive identity but also target a modern, discerning audience that values uniqueness, innovation, and high-end experiences in both the products they buy and the brands they engage with. The new brand message reflects Jaguar’s ambition to capture the attention of a younger, affluent demographic that seeks originality and luxury.As part of Jaguar's rebranding efforts, the brand has significantly updated its emblem to align with its new identity as a luxury electric vehicle maker. The iconic Jaguar face logo, which has been a staple on the grilles of Jaguar cars for the past two decades, has been replaced with a more modern and minimalist circular badge. This new badge features a stylized “J” and “r,” reflecting a cleaner, contemporary look while still maintaining the brand's luxurious appeal. The brass-coloured letters stand out against a gold-and-white backdrop, emphasising sophistication and refinement.In addition to the updated logo, Jaguar’s new badge design is further enhanced by a bold new colour palette. The introduction of primary colours like red, blue, and yellow is a deliberate choice, intended to convey the brand's emphasis on exuberance, creativity, and originality. These colours are meant to evoke a sense of energy and innovation, reflecting Jaguar’s shift towards a more dynamic, modern, and forward-thinking image. The redesigned badge not only symbolises the brand's transition but also positions Jaguar as a distinctive player in the luxury EV market, differentiating itself from traditional automotive designs with a strong visual identity.Jaguar's rebranding signals a decisive shift from offering mass-market luxury vehicles to positioning itself as an ultra-premium electric vehicle (EV) brand. Recognizing that its past products, though high-quality, struggled to stand out in an increasingly crowded market dominated by competitors like BMW and Mercedes-Benz, Jaguar is now recalibrating its approach. The company is moving toward producing “spectacular” vehicles that will appeal to a more exclusive, affluent audience. These new EVs are expected to be priced at roughly double the cost of current models, targeting younger, wealthier buyers who value emotional connections with the brand and its design, rather than simply technical specifications. This move reflects Jaguar’s ambition to redefine luxury and innovation, aiming to attract a new generation of customers looking for distinctiveness, quality, and a deeper brand experience.Jaguar has announced that it will launch three new electric models by 2026. These new models will be designed on a new electric platform and will include significant technological advancements. One of the most anticipated features is a claimed range of up to 430 miles per charge, with the ability to add 200 miles of range in just 15 minutes using a Level 3 fast charger. Furthermore, Jaguar’s electric cars will be compatible with Tesla’s Supercharger network, eliminating the need for a separate adapter, which will make long-distance travel more convenient.In terms of design, Jaguar is positioning its upcoming electric vehicles as a departure from the homogeneity currently seen in the electric vehicle market. The company intends to counteract the common ""aerodynamic blob"" design seen in many EVs by creating low-slung, elegant cars with elongated proportions that evoke the luxury sedans of the past. The first vehicle to showcase this design will be a four-door grand tourer, which will be unveiled at Miami Art Week on December 2, 2024.Jaguar's shift to an electric future is also accompanied by a focus on improving the overall brand experience, including the purchasing process and ownership journey. The company plans to streamline the car-buying process through a new digital ecosystem that will allow customers to configure and order their vehicles online. However, in the U.S., customers will still need to complete the purchase in person, reflecting Jaguar's emphasis on providing a luxury experience at every stage of the process.Jaguar also plans to open exclusive brand experience centres in luxury districts in major cities, beginning with Paris. These spaces will not only serve as retail locations but will also provide customers with a premium experience that reflects the values of the brand.While Jaguar’s rebranding has been met with enthusiasm within the company, social media reactions have been more sceptical. Some users questioned the decision to focus so heavily on the brand’s visual identity without showcasing actual cars in the promotional materials. Others criticized the lengthy rebranding process, with one user sarcastically asking, “Is this for fashion?” Jaguar’s official response to such queries has been that the rebranding represents a “declaration of intent” and that the physical manifestation of their new identity will be unveiled soon.Even Tesla CEO Elon Musk chimed in, asking if Jaguar still sold cars, to which the brand’s social media team responded playfully, inviting him to see the new vehicles at the upcoming Miami event. While the rebranding has sparked confusion for some, Jaguar remains confident that this transformation is essential for the brand’s future.Jaguar is positioning itself to compete with the most exclusive luxury brands in the world, such as Rolls-Royce and Bentley. By focusing on the luxury EV market and eliminating lower-tier models, the company aims to appeal to the ultra-high-end consumer. This new direction is a radical departure from the past, and Jaguar hopes to redefine what it means to own a luxury vehicle in the electric age.Jaguar’s rebranding and transition to electric vehicles are still works in progress, but the upcoming unveiling of the first physical manifestation of its new brand identity at Miami Art Week on December 2, 2024, will offer a glimpse into the future of the iconic automaker. The new electric car, along with the revamped brand, aims to solidify Jaguar’s position as a leader in the luxury electric vehicle market.While questions about the technical aspects of Jaguar’s upcoming electric vehicles remain, the new logos, design ethos, and exclusive positioning provide a clearer sense of where the brand is headed. This transformation marks the beginning of Jaguar’s evolution into a modern, luxury electric vehicle brand that stands out for its design, emotional appeal, and commitment to originality.",Uncategorized,bing
BMW F 900 R und XR: Ganz schön aufgebrezelt!,"<div><img src=""https://imgl.krone.at/scaled/3602503/v350cf0/og_image.jpg"" style=""width: 100%;"" /><div>BMW hat seine beiden Mittelklasse-Modelle F 900 Roadster und F 900 XR zum neuen Modelljahr ordentlich aufgebrezelt. Die Änderungen sind nicht so ...</div></div>",https://www.krone.at/3602481,,2024-11-23 15:00:25,krone.at,,"Zudem gehört das schräglagentaugliche ABS Pro samt der Dynamic Brake Control ab 2025 zum serienmäßigen Lieferumfang. Neu sind für beide Modelle voll einstellbare USD-Telegabeln. Dazu kommen neue, um 1,8 Kilogramm leichtere Aluminiumgussräder. Das Gesamtgewicht sinkt jeweils um drei Kilogramm auf 208 (R) bzw. 216 Kilogramm (XR). Dazu trägt auch die um 0,8 Kilo leichtere Batterie bei.",,rss
"Hyundai, Kia recall over 208,000 electric vehicles to fix problem that can cause loss of power","Hyundai and Kia are recalling over 208,000 electric vehicles to fix a pesky problem that can cause loss of drive power, increasing the risk of a crash.",https://abc7chicago.com/post/kia-hyundai-recall-2024-208000-electric-vehicles-recalled-problem-can-cause-loss-power/15577673/,,2024-11-23 14:56:00,ABC 7 Chicago,,"Hyundai, Kia recall over 208,000 electric vehicles to fix problem that can cause loss of power A Hyundai and Kia recall is impacting more than 208,000 electric vehicles. A Hyundai and Kia recall is impacting more than 208,000 electric vehicles. A Hyundai and Kia recall is impacting more than 208,000 electric vehicles. A Hyundai and Kia recall is impacting more than 208,000 electric vehicles. DETROIT -- Hyundai and Kia are recalling over 208,000 electric vehicles to fix a pesky problem that can cause loss of drive power, increasing the risk of a crash. The recalls cover more than 145,000 Hyundai and Genesis vehicles including the 2022 through 2024 Ioniq 5, the 2023 through 2025 Ioniq 6, GV60 and GV70, and the 2023 and 2024 G80. Also included are nearly 63,000 Kia EV 6 vehicles from 2022 through 2024. The affiliated Korean automakers say in government documents that a transistor in a charging control unit can be damaged and stop charging the 12-volt battery. Dealers will inspect and replace the control unit and a fuse if needed. They also will update software. Owners whose vehicles were recalled earlier this year to fix the same problem will have to visit their dealer again. Owners will be notified by letter in December and January.",Uncategorized,bing
Family stunned as replacing car's battery costs more than buying electric car,"A family bought an electric Ford Focus that had 60,000 miles on it for $11,000 for them to have to fork out for a new battery just six months later",https://www.unilad.com/technology/news/electric-car-battery-costs-more-than-the-car-165440-20241024,,2024-11-23 14:30:00,unilad,,"A family who purchased an electric vehicle for a 17-year-old as her first car went on to regret their decision. In 2022, Avery Siwinski's family forked out for an electric car so that the teen could drive herself to and from school. The car in question was a 2014 Ford Focus Electric and had just 60,000 miles on it despite being a few years old. Advert Avery loved her car, but started having problems with the vehicle around six months after getting it. The main issue? The car's battery. ""I was really excited. And it was fine at first, I loved it so much, it was small and quiet,"" Florida teen Avery gushed about the car to 10 Tampa Bay. Advert But it 'all of a sudden just stopped working'. After taking it to the shop, they discovered that the battery had died, which normally wouldn't be too much of an issue. However, when Ford discontinued the model, they also stopped producing the batteries – and getting a replacement for Avery's car would cost a whopping $14,000, not including the installation costs. ""I know that Ford stopped making the car but it's frustrating that they stopped making the battery too, so it left hundreds of people without a car to use,"" she said. Advert At first, Avery loved the electric car (YouTube/10 Tampa Bay) Sadly, Avery's dad had recently died of cancer and so her grandfather Ray decided to step in and help her with the car breakdown. He told the outlet: ""It turns out this is a pretty common problem with this particular car. The Ford dealership advised us that we could replace the battery, it would only cost $14,000."" While the fact that Ford no longer make the model of car Avery had will have contributed towards the price of the battery, electric car batteries in general cost substantially more money than a non-EV's. Advert The Ford Focus Electric was made from December 2011 to May 2018 (Jean-Marc ZAORSKI/Gamma-Rapho via Getty Images) Your average car battery might sent you back anywhere between $185 to $400, while an electric car's battery might cost as much as $20,000, as per Digital Trends. Avery's grandfather went on to warn other buyers to keep in mind that expensive battery replacements isn't unique to Ford Focus owners. ""If you're buying a new one, you have to realise there is no second hand market out there because manufacturers aren't supporting the cars,"" he explained. Advert The family advised people to do their research before buying an electric vehicle so that you don't run into the same problem they did. UNILAD has contacted Ford for a comment.",Uncategorized,bing
Europe’s electric car revolt claims its biggest scalp yet,"Analysts at Rho Motion pared back their predictions for EV sales by a quarter, to 8.3m by 2030. In Europe, home to Northvolt’s biggest clients, demand has been particularly weak. Sales are down 3pc so far this year, according to Rho Motion. In Germany, they have fallen by 18pc.",https://www.telegraph.co.uk/business/2024/11/22/how-electric-car-apathy-brought-down-europes-battery-giant/,,2024-11-23 14:25:00,The Daily Telegraph,,"On the edge of the Arctic Circle, thousands of employees at Northvolt trudged to work on Friday morning, braving snow, slush and winter darkness, facing an uncertain future. The company’s giant gigafactory, in the Swedish town of Skellefteå, remains operational for now. But on Thursday night, at a court in New York, Northvolt’s lawyers filed for bankruptcy protection amid a cash crisis for the European battery champion. Despite raising more than $15bn (£12bn) from investors, bondholders, pension funds and European governments since it was founded in 2016, this week the company had less than one week’s cash remaining – $30m. Northvolt has blamed its downfall on foundering demand for electric vehicles (EVs) across Europe. Its “capital structure and business plan were premised on the assumption that the electric vehicle industry would continue its pattern of consistent growth”, said Scott Millar, a restructuring adviser at Teneo, in the company’s court pleading. As investor fervour for EVs reached its peak during the pandemic, Northvolt expanded aggressively across Europe, the United States and Canada, with plans for a network of gigafactories, as the facilities that manufacture car batteries are known. However, the bottom fell out of the global market for battery-powered cars in 2023 as inflation and hesitant consumer demand led to a slowdown – and in some cases slump – in EV sales. Analysts at Rho Motion pared back their predictions for EV sales by a quarter, to 8.3m by 2030. In Europe, home to Northvolt’s biggest clients, demand has been particularly weak. Sales are down 3pc so far this year, according to Rho Motion. In Germany, they have fallen by 18pc.",Business,bing
Drivers who convert to electric cars to bank in on cash boost in new election promise as Fine Gael target votes,"DRIVERS who convert to electric vehicles will receive a major cash boost for switching from petrol and diesel cars, according to the new election promise from Fine Gael To enable drivers to",https://www.thesun.ie/news/14241988/fine-gael-election-promise-electric-motors-scheme-ireland/,,2024-11-23 13:41:00,Irish Sun,,"DRIVERS who convert to electric vehicles will receive a major cash boost for switching from petrol and diesel cars, according to the new election promise from Fine Gael To enable drivers to exchange their vehicles for more environmentally friendly models, the party says it is dedicated to looking into the creation of a vehicle scrappage program. 2 Alan Farrell stated that the party want to help people with the change with cash benefits Credit: � 2024 PA Media, All Rights Reserved 2 Fine Gael promises to help drivers convert to electric from petrol and diesel cars under the new scheme Credit: Getty Images - Getty Without involving the Greens, Fine Gael wants to make it clear that it can be relied upon when it comes to climate change and the environment. Simon Harris's party will commit to the new scheme to replace petrol and diesel vehicles with electric vehicles, providing major cash benefits for those who take part in the scheme. Ruairi Quinn, the former finance minister of the Labour Party, had previously implemented a Government-backed scrappage scheme, but this was before the electric vehicles became mainstream. Alan Farrell TD, Dublin Fingal East candidate, said: ""We have had scrappage schemes before and they have worked in changing behaviours. ""We want more people to use electric vehicles and we know people want to use them more. But they are expensive for a lot of people."" He added that if Fine Gael were put back into the government by the people, they would look into the introduction of the new scheme, starting with replacing older and polluting vehicles with electric vehicles. It is also believed that old motorbikes and scooters will benefit from the new scheme, replacing it with non-polluting electric bikes. The party also mentioned that it would transform public transport, starting with buses, to promote a cleaner transport system by eliminating the use of petrol and diesel. As part of the new scheme, Fine Gael also promises to increase the number of publicly available EV charging points to nearly 10,000 charging stations, providing better coverage of EVs nationwide. 'Our people are suffering', cries emotional woman as she confronts Simon Harris while canvassing for Govt doing 'nothing' They will also review custom duties on second-hand EV imports, making it affordable for electric vehicle owners. The government first established a goal of having 175,000 electric cars on the road by the end of the following year, which would increase to 845,000 by the end of 2030, as part of the Climate Action Plan. 'MAKING GOOD PROGRESS' Mr Farrell added: ""We are making good progress on meeting our 2025 target but we have to make sure we can help make through the climate transition. ""The world is on fire and we have to ensure we take the necessary steps to help people with the change. We are doing that through the retrofitting grants and helping people make their homes warmer. ""We are also doing it through reduced public transport fees to encourage more people taking the bus or train to work."" Additionally, he disclosed that Fine Gael is matching the current cycle-to-Work program for employees by committing to a Bike-to-College program to assist students with the cost of a new cycle. He added: ""We believe these practical measures can help move the dial."" The Green Party is expected to meet the pledges with scepticism. It has identified a clear intention from Fine Gael and Fianna Fail to substitute it with an alternative political ally in the forthcoming coalition.",Uncategorized,bing
